mean=276.26, min=22.00, max=659.00
mean=283.39, min=22.00, max=830.00
mean=258.78, min=13.00, max=708.00
mean=266.20, min=19.00, max=777.00
mean=274.82, min=17.00, max=769.00
mean=267.94, min=22.00, max=659.00
mean=274.20, min=22.00, max=762.00
mean=274.66, min=22.00, max=774.00
mean=271.28, min=11.00, max=740.00
mean=275.79, min=4.00, max=779.00
mean=274.13, min=15.00, max=789.00
mean=259.24, min=7.00, max=669.00
mean=266.90, min=22.00, max=709.00
mean=263.26, min=22.00, max=859.00
mean=259.47, min=22.00, max=699.00
mean=290.77, min=22.00, max=776.00
mean=266.95, min=23.00, max=666.00
mean=270.25, min=22.00, max=705.00
mean=276.63, min=22.00, max=689.00
mean=268.64, min=22.00, max=699.00
mean=272.32, min=22.00, max=695.00
mean=274.35, min=7.00, max=627.00
mean=253.67, min=22.00, max=774.00
mean=261.98, min=22.00, max=814.00
mean=261.52, min=22.00, max=759.00
mean=258.49, min=22.00, max=779.00
mean=260.06, min=11.00, max=727.00
mean=273.95, min=22.00, max=749.00
mean=276.79, min=22.00, max=809.00
mean=258.37, min=6.00, max=696.00
mean=258.12, min=22.00, max=729.00
mean=259.47, min=22.00, max=729.00
mean=272.57, min=22.00, max=759.00
mean=255.79, min=22.00, max=706.00
mean=243.15, min=23.00, max=812.00
mean=258.50, min=22.00, max=719.00
mean=265.79, min=13.00, max=751.00
mean=264.60, min=22.00, max=917.00
mean=256.00, min=22.00, max=699.00
mean=253.20, min=14.00, max=849.00
mean=264.43, min=22.00, max=779.00
mean=255.98, min=14.00, max=842.00
mean=250.18, min=11.00, max=867.00
mean=258.69, min=20.00, max=747.00
mean=262.56, min=15.00, max=886.00
mean=262.88, min=22.00, max=769.00
mean=271.48, min=22.00, max=741.00
mean=256.19, min=23.00, max=769.00
mean=258.62, min=22.00, max=799.00
mean=259.19, min=17.00, max=909.00
mean=258.99, min=22.00, max=751.00
mean=266.82, min=6.00, max=737.00
mean=254.56, min=12.00, max=619.00
mean=274.67, min=22.00, max=717.00
mean=267.90, min=13.00, max=778.00
mean=270.00, min=22.00, max=759.00
mean=262.58, min=16.00, max=819.00
mean=279.29, min=2.00, max=729.00
mean=269.25, min=22.00, max=749.00
mean=271.21, min=14.00, max=666.00
mean=259.48, min=21.00, max=850.00
mean=269.24, min=22.00, max=837.00
mean=268.34, min=17.00, max=749.00
mean=261.19, min=22.00, max=776.00
mean=261.06, min=24.00, max=833.00
mean=263.54, min=20.00, max=667.00
mean=265.83, min=22.00, max=689.00
mean=271.04, min=22.00, max=719.00
mean=265.62, min=3.00, max=678.00
mean=260.72, min=23.00, max=653.00
mean=268.51, min=22.00, max=719.00
mean=262.90, min=24.00, max=693.00
mean=260.18, min=22.00, max=829.00
mean=255.09, min=22.00, max=707.00
mean=268.14, min=22.00, max=681.00
mean=268.84, min=23.00, max=765.00
mean=268.55, min=11.00, max=691.00
mean=267.78, min=17.00, max=847.00
mean=262.98, min=5.00, max=775.00
mean=268.08, min=16.00, max=750.00
mean=279.54, min=11.00, max=689.00
mean=271.10, min=22.00, max=642.00
mean=274.95, min=22.00, max=715.00
mean=270.11, min=22.00, max=799.00
mean=266.13, min=22.00, max=719.00
mean=274.51, min=2.00, max=731.00
mean=263.93, min=22.00, max=722.00
mean=269.04, min=22.00, max=719.00
mean=259.26, min=22.00, max=690.00
mean=265.29, min=22.00, max=759.00
mean=268.01, min=22.00, max=669.00
mean=264.43, min=22.00, max=727.00
mean=269.47, min=20.00, max=783.00
mean=261.02, min=22.00, max=658.00
mean=264.16, min=22.00, max=736.00
mean=276.77, min=22.00, max=729.00
mean=266.13, min=22.00, max=884.00
mean=264.60, min=12.00, max=759.00
mean=267.26, min=22.00, max=809.00
mean=262.96, min=16.00, max=739.00
mean=269.21, min=22.00, max=741.00
mean=256.94, min=22.00, max=643.00
mean=267.69, min=22.00, max=979.00
mean=263.50, min=22.00, max=742.00
mean=257.17, min=22.00, max=638.00
mean=262.38, min=22.00, max=789.00
mean=261.86, min=17.00, max=699.00
mean=261.49, min=10.00, max=741.00
mean=250.71, min=22.00, max=691.00
mean=262.59, min=22.00, max=817.00
mean=256.33, min=3.00, max=702.00
mean=270.03, min=22.00, max=730.00
mean=263.73, min=22.00, max=741.00
mean=267.02, min=10.00, max=719.00
mean=279.62, min=22.00, max=789.00
mean=255.45, min=11.00, max=699.00
mean=271.27, min=13.00, max=707.00
mean=276.02, min=13.00, max=709.00
mean=264.79, min=22.00, max=729.00
mean=268.80, min=22.00, max=732.00
mean=264.92, min=10.00, max=726.00
mean=272.66, min=6.00, max=879.00
mean=265.83, min=5.00, max=699.00
mean=265.98, min=13.00, max=729.00
mean=270.19, min=22.00, max=730.00
mean=270.41, min=22.00, max=727.00
mean=262.32, min=22.00, max=759.00
mean=273.08, min=22.00, max=859.00
mean=257.54, min=22.00, max=699.00
mean=276.41, min=3.00, max=720.00
mean=278.97, min=22.00, max=769.00
mean=278.90, min=22.00, max=739.00
mean=271.50, min=22.00, max=779.00
mean=280.40, min=22.00, max=691.00
mean=271.34, min=22.00, max=781.00
mean=266.74, min=22.00, max=795.00
mean=267.20, min=22.00, max=829.00
mean=264.10, min=22.00, max=691.00
mean=265.87, min=22.00, max=696.00
mean=263.71, min=22.00, max=730.00
mean=279.30, min=16.00, max=713.00
mean=267.45, min=22.00, max=781.00
mean=259.70, min=22.00, max=727.00
mean=266.35, min=22.00, max=731.00
mean=259.02, min=22.00, max=670.00
mean=270.82, min=14.00, max=729.00
mean=271.27, min=11.00, max=779.00
mean=277.16, min=22.00, max=799.00
mean=267.11, min=22.00, max=788.00
mean=262.41, min=6.00, max=774.00
mean=282.75, min=22.00, max=689.00
mean=276.26, min=7.00, max=739.00
mean=267.51, min=15.00, max=830.00
mean=259.73, min=21.00, max=828.00
mean=269.72, min=22.00, max=683.00
mean=269.76, min=17.00, max=855.00
mean=269.96, min=15.00, max=699.00
mean=262.88, min=7.00, max=629.00
mean=266.75, min=22.00, max=749.00
mean=269.56, min=22.00, max=742.00
mean=268.95, min=22.00, max=769.00
mean=264.46, min=22.00, max=718.00
mean=269.76, min=22.00, max=851.00
mean=269.80, min=22.00, max=717.00
mean=269.56, min=9.00, max=639.00
mean=267.76, min=22.00, max=669.00
mean=266.72, min=22.00, max=759.00
mean=268.34, min=22.00, max=679.00
mean=277.32, min=15.00, max=789.00
mean=276.66, min=22.00, max=744.00
mean=267.89, min=22.00, max=719.00
mean=273.88, min=22.00, max=729.00
mean=271.26, min=22.00, max=793.00
mean=270.38, min=22.00, max=715.00
mean=269.57, min=22.00, max=889.00
mean=262.82, min=22.00, max=700.00
mean=256.77, min=4.00, max=713.00
mean=261.19, min=11.00, max=809.00
mean=271.89, min=19.00, max=759.00
mean=272.30, min=13.00, max=739.00
mean=275.99, min=22.00, max=771.00
mean=270.94, min=22.00, max=708.00
mean=256.73, min=22.00, max=829.00
mean=275.07, min=22.00, max=645.00
mean=275.87, min=5.00, max=731.00
mean=275.65, min=22.00, max=700.00
mean=267.97, min=22.00, max=853.00
mean=265.48, min=23.00, max=812.00
mean=264.60, min=22.00, max=789.00
mean=273.01, min=22.00, max=709.00
mean=271.76, min=22.00, max=759.00
mean=270.17, min=22.00, max=709.00
mean=279.42, min=22.00, max=849.00
mean=261.88, min=22.00, max=671.00
mean=260.57, min=9.00, max=779.00
mean=273.74, min=6.00, max=749.00
mean=263.06, min=22.00, max=749.00
mean=266.92, min=22.00, max=790.00
mean=266.41, min=4.00, max=728.00
mean=274.48, min=17.00, max=782.00
mean=272.17, min=22.00, max=840.00
mean=272.65, min=18.00, max=692.00
mean=270.85, min=23.00, max=698.00
mean=266.22, min=23.00, max=740.00
mean=252.19, min=3.00, max=686.00
mean=271.34, min=22.00, max=761.00
mean=263.53, min=22.00, max=837.00
mean=267.20, min=12.00, max=759.00
mean=262.87, min=22.00, max=707.00
mean=274.56, min=7.00, max=699.00
mean=276.50, min=4.00, max=819.00
mean=262.23, min=22.00, max=671.00
mean=276.19, min=22.00, max=763.00
mean=260.91, min=22.00, max=865.00
mean=269.54, min=14.00, max=739.00
mean=277.93, min=22.00, max=703.00
mean=275.01, min=22.00, max=785.00
mean=263.05, min=22.00, max=749.00
mean=263.61, min=4.00, max=689.00
mean=264.75, min=22.00, max=859.00
mean=277.32, min=22.00, max=746.00
mean=252.01, min=22.00, max=661.00
mean=282.87, min=19.00, max=703.00
mean=260.69, min=15.00, max=793.00
mean=268.03, min=2.00, max=679.00
mean=268.55, min=22.00, max=701.00
mean=275.80, min=11.00, max=741.00
mean=272.34, min=22.00, max=747.00
mean=266.62, min=17.00, max=779.00
mean=271.60, min=2.00, max=764.00
mean=259.47, min=8.00, max=924.00
mean=271.98, min=2.00, max=721.00
mean=263.84, min=2.00, max=757.00
mean=273.60, min=21.00, max=709.00
mean=271.04, min=13.00, max=669.00
mean=269.33, min=12.00, max=689.00
mean=268.51, min=6.00, max=659.00
mean=274.96, min=5.00, max=849.00
mean=269.89, min=22.00, max=798.00
mean=273.22, min=22.00, max=799.00
mean=269.12, min=3.00, max=849.00
mean=267.58, min=22.00, max=719.00
mean=278.60, min=29.00, max=819.00
mean=264.44, min=22.00, max=721.00
mean=290.88, min=22.00, max=758.00
mean=280.41, min=4.00, max=659.00
mean=267.53, min=22.00, max=769.00
mean=266.70, min=5.00, max=819.00
mean=269.88, min=22.00, max=719.00
mean=278.17, min=5.00, max=709.00
mean=257.41, min=22.00, max=699.00
mean=269.95, min=22.00, max=739.00
mean=275.78, min=23.00, max=731.00
mean=258.74, min=27.00, max=809.00
mean=272.45, min=22.00, max=1047.00
mean=268.80, min=22.00, max=739.00
mean=272.02, min=22.00, max=821.00
mean=274.07, min=22.00, max=699.00
mean=274.25, min=22.00, max=669.00
mean=271.96, min=22.00, max=759.00
mean=270.58, min=22.00, max=769.00
mean=258.30, min=22.00, max=739.00
mean=274.90, min=22.00, max=816.00
mean=267.42, min=23.00, max=762.00
mean=273.15, min=22.00, max=899.00
mean=286.04, min=22.00, max=802.00
mean=274.07, min=23.00, max=709.00
mean=281.47, min=5.00, max=739.00
mean=274.23, min=12.00, max=709.00
mean=255.33, min=6.00, max=719.00
mean=266.29, min=22.00, max=745.00
mean=260.90, min=3.00, max=745.00
mean=270.06, min=22.00, max=660.00
mean=262.58, min=22.00, max=716.00
mean=271.69, min=22.00, max=752.00
mean=265.91, min=22.00, max=695.00
mean=277.17, min=26.00, max=713.00
mean=272.17, min=23.00, max=750.00
mean=266.46, min=11.00, max=777.00
mean=264.23, min=5.00, max=655.00
mean=275.70, min=23.00, max=715.00
mean=275.02, min=11.00, max=612.00
mean=259.15, min=3.00, max=709.00
mean=282.10, min=22.00, max=663.00
mean=260.92, min=6.00, max=825.00
mean=267.54, min=22.00, max=699.00
mean=268.45, min=25.00, max=769.00
mean=273.98, min=22.00, max=689.00
mean=268.46, min=13.00, max=620.00
mean=271.00, min=22.00, max=631.00
